"","V1","cyl","mean_mpg","mean_hp"
"1","AMC Javelin",8,15.2,150
"2","Cadillac Fleetwood",8,10.4,205
"3","Camaro Z28",8,13.3,245
"4","Chrysler Imperial",8,14.7,230
"5","Datsun 710",4,22.8,93
"6","Dodge Challenger",8,15.5,150
"7","Duster 360",8,14.3,245
"8","Ferrari Dino",6,19.7,175
"9","Fiat 128",4,32.4,66
"10","Fiat X1-9",4,27.3,66
"11","Ford Pantera L",8,15.8,264
"12","Honda Civic",4,30.4,52
"13","Hornet 4 Drive",6,21.4,110
"14","Hornet Sportabout",8,18.7,175
"15","Lincoln Continental",8,10.4,215
"16","Lotus Europa",4,30.4,113
"17","Maserati Bora",8,15,335
"18","Mazda RX4",6,21,110
"19","Mazda RX4 Wag",6,21,110
"20","Merc 230",4,22.8,95
"21","Merc 240D",4,24.4,62
"22","Merc 280",6,19.2,123
"23","Merc 280C",6,17.8,123
"24","Merc 450SE",8,16.4,180
"25","Merc 450SL",8,17.3,180
"26","Merc 450SLC",8,15.2,180
"27","Pontiac Firebird",8,19.2,175
"28","Porsche 914-2",4,26,91
"29","Toyota Corolla",4,33.9,65
"30","Toyota Corona",4,21.5,97
"31","Valiant",6,18.1,105
"32","Volvo 142E",4,21.4,109
